,setting1,setting2,setting3,meas01,meas02,meas03,meas04,meas05,meas06,meas07,meas08,meas09,meas10,meas11,meas12,meas13,meas14,meas15,meas16,meas17,meas20,meas21,unit,time_cycles,lof,lrd
0,-0.0007,-0.0004,100.0,518.67,641.82,1589.7,1400.6,14.62,21.61,554.36,2388.06,9046.19,1.3,47.47,521.66,2388.02,8138.62,8.4195,0.03,392,39.06,23.419,1,1,0.9098642014761936,10.66245001742959
1,0.0019,-0.0003,100.0,518.67,642.15,1591.82,1403.14,14.62,21.61,553.75,2388.04,9044.07,1.3,47.49,522.28,2388.07,8131.49,8.4318,0.03,392,39.0,23.4236,1,2,0.9797241236664274,10.726526495190212
2,-0.0043,0.0003,100.0,518.67,642.35,1587.99,1404.2,14.62,21.61,554.26,2388.08,9052.94,1.3,47.27,522.42,2388.03,8133.23,8.4178,0.03,390,38.95,23.3442,1,3,1.022733161045628,9.035572796961917
3,0.0007,0.0,100.0,518.67,642.35,1582.79,1401.87,14.62,21.61,554.45,2388.11,9049.48,1.3,47.13,522.86,2388.08,8133.83,8.3682,0.03,392,38.88,23.3739,1,4,0.968746633359977,10.109145699728817
4,-0.0019,-0.0002,100.0,518.67,642.37,1582.85,1406.22,14.62,21.61,554.0,2388.06,9055.15,1.3,47.28,522.19,2388.04,8133.8,8.4294,0.03,393,38.9,23.4044,1,5,0.9986678785617279,9.12721435987733
5,-0.0043,-0.0001,100.0,518.67,642.1,1584.47,1398.37,14.62,21.61,554.67,2388.02,9049.68,1.3,47.16,521.68,2388.03,8132.85,8.4108,0.03,391,38.98,23.3669,1,6,0.9504834366665034,10.443052621539824
6,0.001,0.0001,100.0,518.67,642.48,1592.32,1397.77,14.62,21.61,554.34,2388.02,9059.13,1.3,47.36,522.32,2388.03,8132.32,8.3974,0.03,392,39.1,23.3774,1,7,0.8967247575942598,10.102954120202225
7,-0.0034,0.0003,100.0,518.67,642.56,1582.96,1400.97,14.62,21.61,553.85,2388.0,9040.8,1.3,47.24,522.47,2388.03,8131.07,8.4076,0.03,391,38.97,23.3106,1,8,0.8613263815771458,12.525901161105374
8,0.0008,0.0001,100.0,518.67,642.12,1590.98,1394.8,14.62,21.61,553.69,2388.05,9046.46,1.3,47.29,521.79,2388.05,8125.69,8.3728,0.03,392,39.05,23.4066,1,9,0.8132588406056118,13.135742059199632
9,-0.0033,0.0001,100.0,518.67,641.71,1591.24,1400.46,14.62,21.61,553.59,2388.05,9051.7,1.3,47.03,521.79,2388.06,8129.38,8.4286,0.03,393,38.95,23.4694,1,10,0.9770994904763717,10.083145366390431
10,0.0018,-0.0003,100.0,518.67,642.28,1581.75,1400.64,14.62,21.61,554.54,2388.05,9049.61,1.3,47.15,521.4,2388.01,8140.58,8.434,0.03,392,38.94,23.4787,1,11,0.9291820665639474,10.26910438715366
11,0.0016,0.0002,100.0,518.67,642.06,1583.41,1400.15,14.62,21.61,554.52,2388.09,9049.37,1.3,47.18,521.8,2388.02,8134.25,8.3938,0.03,391,39.06,23.366,1,12,0.9614613528848984,10.217909522570258
12,-0.0019,0.0004,100.0,518.67,643.07,1582.19,1400.83,14.62,21.61,553.44,2388.12,9046.82,1.3,47.38,521.85,2388.08,8128.1,8.4152,0.03,393,38.93,23.2757,1,13,0.9249216040267872,11.379769243516538
13,0.0009,-0.0,100.0,518.67,642.35,1592.95,1399.16,14.62,21.61,554.48,2388.09,9047.37,1.3,47.44,521.67,2388.0,8134.43,8.3964,0.03,393,39.18,23.3826,1,14,0.9228045508543047,10.737420331567565
14,-0.0018,-0.0003,100.0,518.67,642.43,1583.82,1402.13,14.62,21.61,553.64,2388.11,9052.22,1.3,47.3,522.5,2388.08,8127.56,8.4199,0.03,391,38.99,23.35,1,15,0.9532571592458244,10.491563705216109
15,0.0006,0.0005,100.0,518.67,642.13,1587.98,1404.5,14.62,21.61,553.94,2388.05,9049.34,1.3,47.24,521.49,2388.07,8136.11,8.3936,0.03,392,38.97,23.455,1,16,1.0099887383763146,9.319729812138808
16,0.0002,0.0002,100.0,518.67,642.58,1584.96,1399.95,14.62,21.61,553.8,2388.06,9054.92,1.3,47.12,521.89,2388.04,8137.27,8.4542,0.03,392,38.81,23.3319,1,17,1.0143560082489451,8.961041974762198
17,-0.0031,-0.0001,100.0,518.67,642.62,1591.04,1396.12,14.62,21.61,554.2,2388.05,9049.55,1.3,47.21,521.76,2388.07,8132.73,8.4028,0.03,392,38.89,23.3987,1,18,0.9081002012452941,10.924004186793605
18,0.0032,-0.0003,100.0,518.67,641.79,1587.56,1400.35,14.62,21.61,554.18,2388.04,9053.99,1.3,47.4,521.89,2388.03,8129.13,8.4321,0.03,391,38.8,23.3464,1,19,0.968253212638545,9.979427174576065
19,-0.0037,0.0001,100.0,518.67,643.04,1581.11,1405.23,14.62,21.61,554.81,2388.05,9045.9,1.3,47.22,522.07,2388.02,8129.71,8.421,0.03,392,39.03,23.422,1,20,0.9402150133132435,11.148423705704145
20,-0.0012,0.0001,100.0,518.67,642.37,1586.07,1398.13,14.62,21.61,554.08,2388.11,9048.15,1.3,47.15,522.42,2388.08,8134.02,8.4049,0.03,392,39.09,23.3101,1,21,0.9480273121885607,10.517271559230814
21,0.0002,0.0,100.0,518.67,642.77,1592.93,1400.57,14.62,21.61,553.63,2388.04,9061.21,1.3,47.24,522.0,2388.03,8130.41,8.4034,0.03,392,38.92,23.3792,1,22,0.8630061384985838,10.428767835220688
22,0.0034,-0.0003,100.0,518.67,642.14,1588.19,1394.75,14.62,21.61,553.98,2388.05,9046.28,1.3,47.25,521.52,2388.05,8127.9,8.424,0.03,392,38.94,23.4562,1,23,0.840596049542199,12.542604625199239
23,-0.001,0.0003,100.0,518.67,642.38,1590.83,1398.81,14.62,21.61,553.49,2388.12,9043.76,1.3,47.44,522.13,2388.03,8133.88,8.3891,0.03,392,39.0,23.3696,1,24,0.8971158766244882,11.52363063652779
24,0.0023,-0.0004,100.0,518.67,642.77,1594.1,1399.39,14.62,21.61,554.0,2388.02,9054.16,1.3,47.36,522.56,2388.02,8136.61,8.3917,0.03,393,38.95,23.4288,1,25,0.9489834014710294,9.590228371198737
25,0.0,0.0002,100.0,518.67,642.16,1589.08,1396.07,14.62,21.61,554.11,2388.07,9047.11,1.3,47.26,522.28,2388.06,8131.15,8.426,0.03,394,38.86,23.4149,1,26,0.8936286226871824,11.479577662079452
26,-0.0012,-0.0004,100.0,518.67,642.44,1590.47,1401.84,14.62,21.61,554.07,2388.02,9047.96,1.3,47.37,522.0,2388.13,8134.6,8.4046,0.03,393,38.99,23.4472,1,27,0.9878952722457522,9.863846798965799
27,-0.0024,0.0005,100.0,518.67,642.35,1582.84,1399.13,14.62,21.61,554.68,2388.12,9049.84,1.3,47.41,522.57,2388.08,8127.3,8.4323,0.03,390,39.01,23.2841,1,28,0.8939454340361976,11.526197035379314
